SITE_NO,node_id,node_lon,node_lat
2411,774545099,144.9583459,-37.8060861
2412,774545099,144.9583459,-37.8060861
2413,774545099,144.9583459,-37.8060861
2305,774545099,144.9583459,-37.8060861
4172,3374134102,144.9600834,-37.778076
4173,3374134102,144.9600834,-37.778076
4174,3374134102,144.9600834,-37.778076
4175,3374134102,144.9600834,-37.778076
4176,3374134102,144.9600834,-37.778076
4177,3374134102,144.9600834,-37.778076
4178,3374134102,144.9600834,-37.778076
4181,3374134102,144.9600834,-37.778076
3003,774545099,144.9583459,-37.8060861
3004,774545099,144.9583459,-37.8060861
3005,774545099,144.9583459,-37.8060861
3007,9515157446,144.9607317,-37.7919871
3008,9515157446,144.9607317,-37.7919871
3010,702465424,144.9492306,-37.8050994
3011,777721838,144.9550903,-37.8057283
3012,774545099,144.9583459,-37.8060861
3014,774545099,144.9583459,-37.8060861
3016,774545099,144.9583459,-37.8060861
2667,2180345319,144.93711,-37.7740075
2935,774545099,144.9583459,-37.8060861
3628,52452407,144.9367102,-37.8003421
2520,6646643418,144.936422,-37.7934532
103,774545099,144.9583459,-37.8060861
2949,3374134102,144.9600834,-37.778076
5277,52452407,144.9367102,-37.8003421
807,774545099,144.9583459,-37.8060861
2975,3374134102,144.9600834,-37.778076
6621,774545099,144.9583459,-37.8060861
3246,2180345319,144.93711,-37.7740075
4110,2180345319,144.93711,-37.7740075
564,774545099,144.9583459,-37.8060861
3626,702452273,144.9420045,-37.8043054
881,774545099,144.9583459,-37.8060861
5258,2142179147,144.9364301,-37.7994074
3747,3374134102,144.9600834,-37.778076
1049,774545099,144.9583459,-37.8060861
1169,774545099,144.9583459,-37.8060861
1170,774545099,144.9583459,-37.8060861
3382,9515157446,144.9607317,-37.7919871
3046,774545099,144.9583459,-37.8060861
3648,3374134102,144.9600834,-37.778076
525,774545099,144.9583459,-37.8060861
3674,774545099,144.9583459,-37.8060861
2592,2180345319,144.93711,-37.7740075
1009,387152913,144.9375334,-37.7904806
5236,52452407,144.9367102,-37.8003421
5279,52452407,144.9367102,-37.8003421
1763,3374134102,144.9600834,-37.778076
2610,2180345319,144.93711,-37.7740075
1252,774545099,144.9583459,-37.8060861
3093,774545099,144.9583459,-37.8060861
1160,774545099,144.9583459,-37.8060861
2789,3374134102,144.9600834,-37.778076
2319,774545099,144.9583459,-37.8060861
2328,774545099,144.9583459,-37.8060861
5127,52452407,144.9367102,-37.8003421
1197,702452273,144.9420045,-37.8043054
1204,774545099,144.9583459,-37.8060861
1208,774545099,144.9583459,-37.8060861
1209,774545099,144.9583459,-37.8060861
3406,2664366963,144.9579842,-37.7977023
1755,774545099,144.9583459,-37.8060861
3895,774545099,144.9583459,-37.8060861
808,774545099,144.9583459,-37.8060861
3108,774545099,144.9583459,-37.8060861
3776,52452407,144.9367102,-37.8003421
2579,2180345319,144.93711,-37.7740075
